KEGG	S8.4.Gut	S8.5.Gut	S8.2.Gut	S8.3.Gut	S9.80.Gut	S9.79.Gut	S9.77.Gut	S9.78.Gut	S9.76.Gut	S10.54.Gut	S10.55.Gut	S10.52.Gut	S10.53.Gut	S10.51.Gut	S11.104.Gut	S11.105.Gut	S11.101.Gut	S11.103.Gut	S11.102.Gut	S12.28.Gut	S12.26.Gut	S12.27.Gut	S12.29.Gut	S12.30.Gut	S13.83.Gut	S13.81.Gut	S13.85.Gut	S13.82.Gut	S13.84.Gut	S14.8.Gut	S14.7.Gut	S14.10.Gut	S14.9.Gut	S14.6.Gut	S15.106.Gut	S15.109.Gut	S15.108.Gut	S15.107.Gut	S15.110.Gut	S16.32.Gut	S16.35.Gut	S16.34.Gut	S16.31.Gut	S16.33.Gut	S17.88.Gut	S17.87.Gut	S17.89.Gut	S17.90.Gut	S17.86.Gut	S18.15.Gut	S18.14.Gut	S18.13.Gut	S18.11.Gut	S18.12.Gut	S19.38.Gut	S19.39.Gut	S19.37.Gut	S19.40.Gut	S19.36.Gut	S20.91.Gut	S20.93.Gut	S20.92.Gut	S20.94.Gut	S20.95.Gut	S21.59.Gut	S21.60.Gut	S21.56.Gut	S21.57.Gut	S21.58.Gut	S22.111.Gut	S22.113.Gut	S22.112.Gut	S22.115.Gut	S22.114.Gut	S23.45.Gut	S23.43.Gut	S23.42.Gut	S23.41.Gut	S23.44.Gut	S24.19.Gut	S24.18.Gut	S24.17.Gut	S24.20.Gut	S24.16.Gut	S25.117.Gut	S25.116.Gut	S25.118.Gut	S25.120.Gut	S25.119.Gut	S26.49.Gut	S26.47.Gut	S26.48.Gut	S26.50.Gut	S26.46.Gut	S27.97.Gut	S27.96.Gut	S27.100.Gut	S27.99.Gut	S27.98.Gut	S28.65.Gut	S28.64.Gut	S28.62.Gut	S28.61.Gut	S28.63.Gut	S29.23.Gut	S29.22.Gut	S29.24.Gut	S29.21.Gut	S29.25.Gut	S30.70.Gut	S30.68.Gut	S30.69.Gut	S30.66.Gut	S30.67.Gut	S31.122.Gut	S31.124.Gut	S31.125.Gut	S31.123.Gut	S31.121.Gut	S32.71.Gut	S32.73.Gut	S32.72.Gut	S32.75.Gut	S32.74.Gut
ko05150	12346	22833.5	14538.75	24118.66	2165.88	3337.92	1060.1	368.69	712.48	8702.97	4475.75	5584.13	6785.51	3001.23	3490.13	1859.02	3570.5	4763.18	2976.16	2522.92	4636.75	2685.81	1894.44	1283.81	2172.71	2596.74	2090.29	2696.13	2248.05	1426.91	4049.92	3562.35	3505.56	3383.55	3264.89	3396.08	1837.62	2806.23	3811.5	17940.5	7533.25	37171.58	23736.75	19598.83	5754.67	3735.25	5631	5072.58	4758	2552.91	3100.08	3488.25	2524.84	2810.92	3019.75	4063.5	3713.08	5037.94	4520.55	6907.47	3313.39	6330.92	4019.5	4966.25	3170.75	2174.69	2423	2858.01	2692.75	3651.74	4983.75	3497.25	3257.75	3678.81	3309.5	5636	4505.44	3192.56	3943.25	1989	7980.08	4598.25	2023.67	2866.79	2504.99	2993.33	6109.01	4019.17	4271.99	1226.41	14995	3124.09	1520.66	1447.51	2126.23	1406.69	1154.32	1941.76	4357.33	6561.97	2296.93	2497.63	1519.51	1437.96	5057.81	3648.15	2912.89	1601.58	1088.86	8065.08	1871.03	2847.67	2879.5	1545.25	1000.01	2858.99	1117	3362.49	1164.84	2876.08	2355.19	2497	650.99	1831.42
ko00791	475.02	498.51	293.01	354.48	270.14	25821	39121.5	69747.15	40106.57	1695.22	4535.36	787	2051.27	150.55	503.54	753.69	35.43	1460.64	200.23	416.93	107.15	34.51	237.29	1144.69	2019.22	2403.32	1454.07	1303.67	1334.43	2452.99	352.89	973.83	1389.4	558	338.49	66.71	672.16	736.01	1283.24	3813.9	753.42	89.01	24.42	132.45	0	27.99	531.99	20	95.01	192	259.81	214.67	225.11	577.62	143.29	268.29	17	340.72	42	17.86	735.92	861.36	347.23	16.14	335	2368.5	209	5144.99	1015	786.12	133	215.93	71.5	337.18	6	44	1.43	364.86	12	1462	36	20	274	255	87.34	624.18	1254.99	125.01	298.99	36	40.85	1350.65	887.99	615.35	604.01	3632.65	2622.63	1526.64	49.71	2234.05	1251.42	859.37	1020.44	579.79	563.97	1306.84	1812.07	1084.52	7780.94	11505.05	152.98	124.84	839.99	583.23	1681.06	1548.66	2094.65	172	12291.2	285.5	876.58	791.39	529	323.65
ko00790	69741.24	71167.87	83145.12	93093.34	65521.2	140777.46	173688.34	283052.81	186741.54	52909.01	66204.27	60779.01	90836.99	43697.98	56057.13	29424.33	50850.66	52231.52	35804.59	48289.96	87118.05	68128.86	41565.24	85967.45	45384.54	42135.76	40496.69	44030.29	53847.29	68148.42	54601.39	50188.56	67990.65	47748.23	49884.93	45710.18	37710.21	38956.11	43217.99	68051.18	60559.93	107091.41	80770.43	71490.6	63259.71	67718.88	73386.63	60340.54	52333.37	50364.58	50515.83	71980.4	44999.45	51610.79	72856.03	67888.98	65244.04	83881.9	73880.15	100313.12	64385.49	67686.38	72010.33	79995.93	57390.95	52374.81	55399.5	54880.47	49410.75	65942.18	84257.75	58509.91	56500.56	57613.16	67572.5	82656	67518.92	57098.56	72894.25	49536.5	78702.04	84637.25	52455.71	51886.19	48746.21	59614.49	43481.76	62492.78	69170.8	40165.33	49746.45	32363.22	73010.21	35972.83	26580.03	34494.06	31230.09	31259.06	61383.31	80516.3	39439.42	47424.46	31917.82	31658.38	73173.54	83811.59	164045.58	29647.62	93250.61	174909.29	45660.69	66149.74	45550.13	28042.2	24841.3	50786.79	51023.05	49371.07	77077.72	61429.52	67434.3	40231.68	39141.37	33993.76
ko00020	133678.32	133513.91	160824.91	176683.18	129189.08	321973.75	422985.9	702898.45	452074.74	73047.42	113731.89	100642.93	172198.62	73016.01	98728.9	53220.92	99810.61	94108.28	57564.85	92169.01	170901.55	132064.01	79624.73	167928.16	81442.63	75476.58	75080.84	76011.22	102263	134493.22	105413.14	96265.48	138088.47	87980.05	96218.77	82647.46	70612.33	72373.75	79179.01	134125.9	117301.42	201549.16	152225.42	134002.95	124949.25	133083.59	144754.59	119814.25	104873.41	99713.75	100358.56	142558.17	89488.36	101678.62	139218.08	133883.83	129739.75	164797.84	147938.3	199737.43	127344.12	125110.17	144239.23	158733.28	107614.25	92379.65	104969	105168.41	93499.5	131221.58	168452.75	115322.61	111781.18	114131.26	134038	162869.5	134138.51	112611.82	143796.5	90394	151538.25	164460	99139.25	99493.45	75541.24	104126.33	79722.34	110712.41	118350.09	68779.5	90633	53125.69	140329.59	57664.7	41873.34	65908.46	57805.92	52615.03	113754.25	133142.61	61568.85	79427.43	55659.62	50977.03	133277.62	152751.89	316725.73	51667.54	174837.83	306783.81	72213.58	115058.52	79697.84	47615.11	43604.45	90801.85	84192.69	91221.5	142053.44	106720.58	105463.69	69556.97	63623.25	55220.69
ko00710	97626.6	103138.55	115505.8	131237.62	88842.3	231634.14	286478.04	473207.92	304055.15	97006.14	121826.98	98288.26	133466.1	69100.69	83105.41	44525.65	68399.67	77624.72	58320.45	68946.29	121731.1	95648.98	61904.33	122410.27	77165.97	74755.01	61715.9	71491.14	81153.94	120849.3	88988.19	71960.28	120378.12	76298.53	70101.45	66616.19	55204.37	58962.61	68072.86	103848.39	86338.83	152590.91	114523.33	104130.06	84511.39	91864.2	99204.95	80688.36	70355.05	68110.47	68086.08	97319.91	60477.14	71062.08	104425.05	92170.51	87068.86	114359.5	97406.65	132376.48	87623.48	96646.31	95836.02	107090.91	82650.96	86328.36	78604	86618.95	71817.75	89122.16	112560.75	79264.42	75219.9	77974.63	91094.5	111375	90478.99	78736.52	97937.25	79047	108374.36	117871.25	75956.89	74139.75	81677.87	89930.46	64284.12	94173.65	105651.07	62494.97	76190.15	53844.74	106175.67	61443.32	46692.05	59297.21	56450.02	53660.58	84191.42	134831.72	67380.77	79181.78	53024.75	53670.15	109676.1	135058.16	230413.69	48692.68	148699.2	293523.34	76372.75	109796.91	68499.45	46524.03	42148.59	75630.59	87222.71	70298.54	138872.61	95428.32	114647.85	62800.47	78571.33	54832.6
ko00196	247	2106	260	1482	13	1053	338	416	26	656	65	117	234	65	0	194.5	0	289	33	221	338	39	416	1092	2587	2083	1505	1470	1995	2238.5	291.5	24	872	923	0	0	0	546	91											754	533	585	260	286	599	0	13	325	0						1417	7481	793	5229	2873	2132	572	949	325	1365	0	0	0	130	0	338	0	0	0	117	36	0	198	438	120	0	0	1131	145	285	526.05	1964.55	2274	278	24	797	1788	440	179	211	0	1486.5	24	33	0	576	0	0	96	24	264	781	1056	180	210	294	1884	539	0	162
ko02060	133955.36	171759.18	157433.43	199885.84	102145.84	454292.65	610456.02	1029306.57	620139.43	148340.61	129995.07	129512.24	178078.65	81797.95	91984.27	51528.25	87053.4	93482.8	75469.48	86156.5	124702.25	112299.11	65235.02	145651.67	69429.73	65556.45	56699.85	67847.75	75561.26	85483.76	116087.47	88024.86	217487.39	91601.04	82616.18	83907.67	66887.32	67467.78	87346.07	204422.38	112926.75	262831.53	181476.25	159778.11	99861.4	107380.07	112063.32	92343.35	81272.68	72321.7	73629.78	105366.76	67869.63	86687.76	98538.77	97921.2	94543.85	121744.42	108687.45	150907.76	115361.98	135243.44	115471.19	117837.45	80178.43	67917.89	82436.5	100511.71	73003.25	100482.46	125126.75	85281.15	84155.84	83971.59	96821	128643	101625.22	88178.98	113437.75	81403	131094.35	120690.25	79103.4	78412.76	77237.07	90044.51	77487.52	89054.76	95566.44	67959.45	117828.7	64064.93	81753.52	66830.2	64133.47	49244.42	41048.53	58940.15	102252.06	179333.69	83406.34	86137.87	61716.61	66190.36	131995.38	148358.71	224669.28	64138.91	131343.97	207313.29	59183.51	85761.98	74262.32	53031.08	50523.29	86024.86	57652.88	80619.98	156146.14	125877.46	94330.12	66331.68	33395.3	63045.28
ko00340	78796.58	85412.04	91510.29	107427	71492.64	154585.46	189076.85	307332.27	202858.74	67559.57	74136	67072.77	95363.74	52438.43	60290.46	33261.8	52711.45	56868.94	39180.92	55021.84	93290	72700.02	46628.12	95317.29	56072.84	56930.99	45053.9	51015.29	62719.68	102839.27	72679.67	57337.72	89112.63	55932.75	53555.78	49647.58	41388.6	43701.81	49995.58	82927.37	67018.57	132182.58	96577.07	86822.71	66097.21	70715.71	75725.96	62824.54	55382.04	52925.58	52201.45	75214.52	46602.43	54165.53	79211.23	70844.35	68217.54	87740.07	76220.45	102501.41	67706.75	75050.05	75348.23	82992.85	60495.12	58294.15	58118.5	60235.83	52059.75	68485.41	87527.25	60159.7	58619.3	59404.69	70572	86332.5	69637.22	60224.13	75262.25	51945	84778.04	91573.25	55904.71	55141.67	54105.53	65497.84	50473.59	70822.12	76467.96	42229.83	42564.18	33988.81	79517.54	38552.38	29437.39	42369.81	46122.5	37145.98	62048.96	92784.27	42210.55	52445.73	35045.82	33638.23	81585.54	103029.84	181287.73	30886.63	95622.52	194111.13	51575.86	80149.4	49358.96	31820.15	27784.06	56104.05	56748.64	51239.74	82224.43	64427.6	72936.76	44735.29	72240.37	34494.6
ko00785	13790.18	13970.84	17052.59	18742.8	14165.6	31661.26	42563.57	70107.79	44912.88	4936.36	8349.85	9149.72	18859.91	6685.57	9616.62	5463.96	10983.29	10584.46	4758.98	10025.72	17288.7	12743.5	7421.46	18346.03	8558.64	8304.26	8240.04	7549.36	10939.43	14725.49	9570.37	10557.85	13801.14	8422.69	9967.13	8364.77	7108.13	7377.71	7850.49	13492.21	11890.67	19554.08	15111.17	12921.25	13717.51	13903.91	15674.66	13066.74	11557.34	10991.98	11181.92	15389.93	9871.99	10876.87	14416.94	14590.87	14376.74	18125.25	16667.65	22514.69	13960.44	13185.83	16118.6	17534.17	11187.93	10134.66	10560.5	12208.81	10109.25	15282.64	18948	12802.54	12630.12	12989.22	14058.5	17537.5	14714.88	12042.49	15334.75	8148.5	15911.74	17457.25	9454.01	10032.33	5372.84	10185.12	8364.19	11161.03	11312.45	5817.73	9966.93	4710.03	12696.64	4168.58	3021.78	6947.16	6146.08	4636.7	12472.03	11635.17	4807.01	6500.35	4637.74	3922.71	12376.39	15878.07	28612.11	4427.51	16462.04	25977.4	5279.18	9101.09	7731.91	3719.41	3852.82	9864.57	6509.76	9940.15	11951.14	9333.11	7820.52	6961.43	8621.47	4559.02
ko00550	122732.46	148354.73	145088.98	179064.58	100427.34	280406.98	354776.53	591346.34	375285.17	105558.72	125200.27	112520.96	152716.15	80934.87	96224.32	50849.31	76474.32	88781.78	68058.55	79298.39	138158.85	105693.99	70823.95	140474.77	93689.51	90655.76	68499.94	80939.01	94149.73	155792.66	110875.6	84571.29	143404.34	88894.71	77698.2	75190.11	59821.23	65618.77	77850.06	138557.62	104264.47	224948.75	162124.97	145173.94	97104.23	102137.52	110563.27	92417.02	81549.73	76333.04	75981.03	108728.62	67289.87	77998.75	121763.69	103141.96	98305.02	129808.77	109243.45	148405.78	97696.3	105986.18	107327.73	120484.11	95034.27	101518.22	88469.5	97384.59	80927.25	100095.31	127083.25	89111.07	84992.34	87839.17	101243.5	125792.5	101341.31	88512.15	107760.75	86387.5	125998.02	133419.25	84854.73	84345.25	98816.55	106184.97	80007.96	111653.98	125644.56	73087.29	106892.17	59000.8	119425.81	72093.09	53826.75	67979.87	69666.02	63677.8	95000.95	150331.12	72752.89	93596.1	61294.76	63015.44	131525.08	160504.09	252324.04	56867.18	131572.26	302397.21	92250.24	139465.88	75502.77	54534.9	49565.42	87017.13	98295.09	79067.83	128243.14	111775.19	136648.2	72582.4	100753.31	64142.07
